minute_start_utc,in_count,out_count,occupancy_end
2026-01-15T08:02:00Z,3,8,2
2026-01-15T08:03:00Z,5,7,0
2026-01-15T08:04:00Z,2,2,0
2026-01-15T08:05:00Z,3,3,0
2026-01-15T08:06:00Z,3,3,0
2026-01-15T08:07:00Z,9,4,5
2026-01-15T08:08:00Z,4,9,0
2026-01-15T08:09:00Z,1,1,0
2026-01-15T08:10:00Z,6,6,0
2026-01-15T08:11:00Z,6,2,4
2026-01-15T08:12:00Z,7,3,8
2026-01-15T08:13:00Z,7,4,11
2026-01-15T08:14:00Z,4,6,9
2026-01-15T08:15:00Z,5,10,4
2026-01-15T08:16:00Z,7,5,6
2026-01-15T08:17:00Z,7,9,4
2026-01-15T08:18:00Z,3,6,1
2026-01-15T08:19:00Z,6,5,2
2026-01-15T08:20:00Z,7,6,3
2026-01-15T08:21:00Z,8,11,0
2026-01-15T08:22:00Z,4,3,1
2026-01-15T08:23:00Z,6,5,2
2026-01-15T08:24:00Z,7,9,0
2026-01-15T08:25:00Z,5,3,2
2026-01-15T08:26:00Z,3,4,1
2026-01-15T08:27:00Z,5,5,1
2026-01-15T08:28:00Z,7,4,4
2026-01-15T08:29:00Z,7,6,5
2026-01-15T08:30:00Z,10,13,2
2026-01-15T08:31:00Z,8,7,3
2026-01-15T08:32:00Z,8,8,3
2026-01-15T08:33:00Z,2,4,1
2026-01-15T08:34:00Z,6,5,2
2026-01-15T08:35:00Z,9,8,3
2026-01-15T08:36:00Z,4,7,0
2026-01-15T08:37:00Z,5,5,0
2026-01-15T08:38:00Z,6,2,4
2026-01-15T08:39:00Z,7,7,4
2026-01-15T08:40:00Z,6,6,4
2026-01-15T08:41:00Z,9,4,9
2026-01-15T08:42:00Z,10,5,14
2026-01-15T08:43:00Z,9,12,11
2026-01-15T08:44:00Z,8,5,14
2026-01-15T08:45:00Z,7,11,10
2026-01-15T08:46:00Z,4,7,7
2026-01-15T08:47:00Z,5,7,5
2026-01-15T08:48:00Z,5,9,1
2026-01-15T08:49:00Z,7,8,0
2026-01-15T08:50:00Z,6,4,2
2026-01-15T08:51:00Z,2,4,0
2026-01-15T08:52:00Z,3,2,1
2026-01-15T08:53:00Z,6,6,1
2026-01-15T08:54:00Z,13,7,7
2026-01-15T08:55:00Z,5,6,6
2026-01-15T08:56:00Z,10,11,5
2026-01-15T08:57:00Z,5,7,3
2026-01-15T08:58:00Z,7,2,8
2026-01-15T08:59:00Z,3,11,0
2026-01-15T09:00:00Z,7,4,3
2026-01-15T09:01:00Z,10,6,7
2026-01-15T09:02:00Z,7,6,8
2026-01-15T09:03:00Z,11,7,12
2026-01-15T09:04:00Z,6,5,13
2026-01-15T09:05:00Z,11,9,15
2026-01-15T09:06:00Z,8,10,13
2026-01-15T09:07:00Z,8,9,12
2026-01-15T09:08:00Z,9,11,10
2026-01-15T09:09:00Z,5,7,8
2026-01-15T09:10:00Z,17,8,17
2026-01-15T09:11:00Z,17,6,28
2026-01-15T09:12:00Z,10,13,25
2026-01-15T09:13:00Z,12,7,30
2026-01-15T09:14:00Z,9,6,33
2026-01-15T09:15:00Z,10,7,36
2026-01-15T09:16:00Z,16,7,45
2026-01-15T09:17:00Z,8,11,42
2026-01-15T09:18:00Z,13,5,50
2026-01-15T09:19:00Z,16,5,61
2026-01-15T09:20:00Z,12,9,64
2026-01-15T09:21:00Z,14,6,72
2026-01-15T09:22:00Z,16,6,82
2026-01-15T09:23:00Z,7,4,85
2026-01-15T09:24:00Z,7,8,84
2026-01-15T09:25:00Z,9,8,85
2026-01-15T09:26:00Z,11,6,90
2026-01-15T09:27:00Z,15,8,97
2026-01-15T09:28:00Z,19,4,112
2026-01-15T09:29:00Z,12,12,112
2026-01-15T09:30:00Z,10,12,110
2026-01-15T09:31:00Z,18,8,120
2026-01-15T09:32:00Z,11,8,123
2026-01-15T09:33:00Z,15,8,130
2026-01-15T09:34:00Z,14,7,137
2026-01-15T09:35:00Z,4,5,136
2026-01-15T09:36:00Z,9,13,132
2026-01-15T09:37:00Z,7,8,131
2026-01-15T09:38:00Z,8,12,127
2026-01-15T09:39:00Z,14,9,132
2026-01-15T09:40:00Z,10,10,132
2026-01-15T09:41:00Z,9,7,134
2026-01-15T09:42:00Z,10,8,136
2026-01-15T09:43:00Z,9,8,137
2026-01-15T09:44:00Z,11,6,142
2026-01-15T09:45:00Z,5,14,133
2026-01-15T09:46:00Z,10,7,136
2026-01-15T09:47:00Z,14,9,141
2026-01-15T09:48:00Z,6,14,133
2026-01-15T09:49:00Z,14,10,137
2026-01-15T09:50:00Z,12,9,140
2026-01-15T09:51:00Z,11,7,144
2026-01-15T09:52:00Z,4,5,143
2026-01-15T09:53:00Z,8,13,138
2026-01-15T09:54:00Z,10,8,140
2026-01-15T09:55:00Z,16,7,149
2026-01-15T09:56:00Z,11,6,154
2026-01-15T09:57:00Z,8,8,154
2026-01-15T09:58:00Z,15,8,161
2026-01-15T09:59:00Z,13,9,165
2026-01-15T10:00:00Z,14,12,167
2026-01-15T10:01:00Z,9,9,167
2026-01-15T10:02:00Z,11,6,172
2026-01-15T10:03:00Z,8,7,173
2026-01-15T10:04:00Z,9,10,172
2026-01-15T10:05:00Z,10,5,177
2026-01-15T10:06:00Z,11,7,181
2026-01-15T10:07:00Z,13,9,185
2026-01-15T10:08:00Z,9,7,187
2026-01-15T10:09:00Z,12,11,188
2026-01-15T10:10:00Z,16,7,197
2026-01-15T10:11:00Z,18,4,211
2026-01-15T10:12:00Z,6,13,204
2026-01-15T10:13:00Z,13,3,214
2026-01-15T10:14:00Z,14,12,216
2026-01-15T10:15:00Z,14,5,225
2026-01-15T10:16:00Z,10,5,230
2026-01-15T10:17:00Z,12,10,232
2026-01-15T10:18:00Z,6,5,233
2026-01-15T10:19:00Z,12,12,233
2026-01-15T10:20:00Z,12,7,238
2026-01-15T10:21:00Z,10,13,235
2026-01-15T10:22:00Z,6,8,233
2026-01-15T10:23:00Z,7,7,233
2026-01-15T10:24:00Z,7,10,230
2026-01-15T10:25:00Z,13,9,234
2026-01-15T10:26:00Z,13,11,236
2026-01-15T10:27:00Z,5,10,231
2026-01-15T10:28:00Z,9,11,229
2026-01-15T10:29:00Z,11,8,232
2026-01-15T10:30:00Z,10,11,231
2026-01-15T10:31:00Z,8,8,231
2026-01-15T10:32:00Z,5,6,230
2026-01-15T10:33:00Z,11,13,228
2026-01-15T10:34:00Z,17,6,239
2026-01-15T10:35:00Z,16,11,244
2026-01-15T10:36:00Z,15,10,249
2026-01-15T10:37:00Z,8,6,251
2026-01-15T10:38:00Z,8,11,248
2026-01-15T10:39:00Z,16,11,253
2026-01-15T10:40:00Z,12,12,253
2026-01-15T10:41:00Z,9,9,253
2026-01-15T10:42:00Z,7,11,249
2026-01-15T10:43:00Z,10,5,254
2026-01-15T10:44:00Z,10,12,252
2026-01-15T10:45:00Z,8,7,253
2026-01-15T10:46:00Z,10,10,253
2026-01-15T10:47:00Z,14,6,261
2026-01-15T10:48:00Z,11,8,264
2026-01-15T10:49:00Z,13,8,269
2026-01-15T10:50:00Z,10,8,271
2026-01-15T10:51:00Z,7,9,269
2026-01-15T10:52:00Z,14,9,274
2026-01-15T10:53:00Z,12,5,281
2026-01-15T10:54:00Z,8,8,281
2026-01-15T10:55:00Z,10,6,285
2026-01-15T10:56:00Z,6,8,283
2026-01-15T10:57:00Z,9,5,287
2026-01-15T10:58:00Z,16,9,294
2026-01-15T10:59:00Z,16,10,300
2026-01-15T11:00:00Z,6,8,298
2026-01-15T11:01:00Z,17,6,309
2026-01-15T11:02:00Z,12,10,311
2026-01-15T11:03:00Z,9,4,316
2026-01-15T11:04:00Z,6,3,319
2026-01-15T11:05:00Z,13,7,325
2026-01-15T11:06:00Z,12,11,326
2026-01-15T11:07:00Z,12,7,331
2026-01-15T11:08:00Z,17,10,338
2026-01-15T11:09:00Z,9,5,342
2026-01-15T11:10:00Z,12,9,345
2026-01-15T11:11:00Z,9,11,343
2026-01-15T11:12:00Z,8,14,337
2026-01-15T11:13:00Z,10,8,339
2026-01-15T11:14:00Z,15,11,343
2026-01-15T11:15:00Z,8,11,340
2026-01-15T11:16:00Z,9,7,342
2026-01-15T11:17:00Z,12,11,343
2026-01-15T11:18:00Z,13,10,346
2026-01-15T11:19:00Z,9,12,343
2026-01-15T11:20:00Z,12,5,350
2026-01-15T11:21:00Z,8,12,346
2026-01-15T11:22:00Z,10,10,346
2026-01-15T11:23:00Z,14,10,350
2026-01-15T11:24:00Z,12,11,351
2026-01-15T11:25:00Z,15,5,361
2026-01-15T11:26:00Z,13,6,368
2026-01-15T11:27:00Z,5,3,370
2026-01-15T11:28:00Z,13,11,372
2026-01-15T11:29:00Z,8,6,374
2026-01-15T11:30:00Z,7,8,373
2026-01-15T11:31:00Z,8,7,374
2026-01-15T11:32:00Z,14,7,381
2026-01-15T11:33:00Z,10,8,383
2026-01-15T11:34:00Z,10,13,380
2026-01-15T11:35:00Z,8,13,375
2026-01-15T11:36:00Z,5,10,370
2026-01-15T11:37:00Z,13,8,375
2026-01-15T11:38:00Z,14,7,382
2026-01-15T11:39:00Z,18,7,393
2026-01-15T11:40:00Z,12,5,400
2026-01-15T11:41:00Z,9,14,395
2026-01-15T11:42:00Z,10,12,393
2026-01-15T11:43:00Z,6,9,390
2026-01-15T11:44:00Z,6,7,389
2026-01-15T11:45:00Z,11,9,391
2026-01-15T11:46:00Z,7,11,387
2026-01-15T11:47:00Z,9,6,390
2026-01-15T11:48:00Z,6,6,390
2026-01-15T11:49:00Z,14,9,395
2026-01-15T11:50:00Z,13,11,397
2026-01-15T11:51:00Z,12,10,399
2026-01-15T11:52:00Z,15,5,409
2026-01-15T11:53:00Z,15,13,411
2026-01-15T11:54:00Z,20,6,425
2026-01-15T11:55:00Z,8,7,426
2026-01-15T11:56:00Z,8,6,428
2026-01-15T11:57:00Z,13,5,436
2026-01-15T11:58:00Z,10,6,440
2026-01-15T11:59:00Z,5,6,439
2026-01-15T12:00:00Z,12,6,445
2026-01-15T12:01:00Z,16,14,447
2026-01-15T12:02:00Z,8,9,446
2026-01-15T12:03:00Z,10,12,444
2026-01-15T12:04:00Z,5,12,437
2026-01-15T12:05:00Z,11,7,441
2026-01-15T12:06:00Z,9,10,440
2026-01-15T12:07:00Z,15,10,445
2026-01-15T12:08:00Z,14,6,453
2026-01-15T12:09:00Z,12,15,450
2026-01-15T12:10:00Z,10,11,449
2026-01-15T12:11:00Z,9,15,443
2026-01-15T12:12:00Z,7,11,439
2026-01-15T12:13:00Z,8,10,437
2026-01-15T12:14:00Z,14,8,443
2026-01-15T12:15:00Z,13,7,449
2026-01-15T12:16:00Z,10,7,452
2026-01-15T12:17:00Z,13,6,459
2026-01-15T12:18:00Z,8,7,460
2026-01-15T12:19:00Z,9,8,461
2026-01-15T12:20:00Z,10,5,466
2026-01-15T12:21:00Z,13,12,467
2026-01-15T12:22:00Z,8,9,466
2026-01-15T12:23:00Z,15,11,470
2026-01-15T12:24:00Z,6,6,470
2026-01-15T12:25:00Z,12,5,477
2026-01-15T12:26:00Z,18,6,489
2026-01-15T12:27:00Z,14,8,495
2026-01-15T12:28:00Z,13,7,501
2026-01-15T12:29:00Z,13,6,508
2026-01-15T12:30:00Z,12,10,510
2026-01-15T12:31:00Z,6,13,503
2026-01-15T12:32:00Z,15,8,510
2026-01-15T12:33:00Z,7,16,501
2026-01-15T12:34:00Z,8,5,504
2026-01-15T12:35:00Z,17,8,513
2026-01-15T12:36:00Z,13,6,520
2026-01-15T12:37:00Z,10,9,521
2026-01-15T12:38:00Z,17,8,530
2026-01-15T12:39:00Z,13,10,533
2026-01-15T12:40:00Z,3,7,529
2026-01-15T12:41:00Z,8,9,528
2026-01-15T12:42:00Z,14,7,535
2026-01-15T12:43:00Z,12,8,539
2026-01-15T12:44:00Z,10,11,538
2026-01-15T12:45:00Z,11,5,544
2026-01-15T12:46:00Z,15,10,549
2026-01-15T12:47:00Z,13,7,555
2026-01-15T12:48:00Z,7,13,549
2026-01-15T12:49:00Z,14,8,555
2026-01-15T12:50:00Z,9,8,556
2026-01-15T12:51:00Z,20,8,568
2026-01-15T12:52:00Z,7,15,560
2026-01-15T12:53:00Z,15,7,568
2026-01-15T12:54:00Z,10,11,567
2026-01-15T12:55:00Z,8,9,566
2026-01-15T12:56:00Z,8,9,565
2026-01-15T12:57:00Z,11,15,561
2026-01-15T12:58:00Z,17,5,573
2026-01-15T12:59:00Z,10,6,577
2026-01-15T13:00:00Z,6,3,580
2026-01-15T13:01:00Z,10,9,581
2026-01-15T13:02:00Z,4,6,579
2026-01-15T13:03:00Z,4,7,576
2026-01-15T13:04:00Z,6,8,574
2026-01-15T13:05:00Z,7,4,577
2026-01-15T13:06:00Z,5,16,566
2026-01-15T13:07:00Z,7,11,562
2026-01-15T13:08:00Z,12,8,566
2026-01-15T13:09:00Z,12,9,569
2026-01-15T13:10:00Z,6,12,563
2026-01-15T13:11:00Z,7,11,559
2026-01-15T13:12:00Z,8,8,559
2026-01-15T13:13:00Z,9,9,559
2026-01-15T13:14:00Z,13,11,561
2026-01-15T13:15:00Z,4,7,558
2026-01-15T13:16:00Z,8,6,560
2026-01-15T13:17:00Z,13,10,563
2026-01-15T13:18:00Z,4,8,559
2026-01-15T13:19:00Z,17,6,570
2026-01-15T13:20:00Z,8,9,569
2026-01-15T13:21:00Z,5,10,564
2026-01-15T13:22:00Z,7,13,558
2026-01-15T13:23:00Z,13,8,563
2026-01-15T13:24:00Z,5,5,563
2026-01-15T13:25:00Z,6,15,554
2026-01-15T13:26:00Z,9,8,555
2026-01-15T13:27:00Z,11,8,558
2026-01-15T13:28:00Z,9,16,551
2026-01-15T13:29:00Z,15,10,556
2026-01-15T13:30:00Z,5,6,555
2026-01-15T13:31:00Z,8,9,554
2026-01-15T13:32:00Z,5,9,550
2026-01-15T13:33:00Z,2,10,542
2026-01-15T13:34:00Z,12,3,551
2026-01-15T13:35:00Z,6,11,546
2026-01-15T13:36:00Z,15,10,551
2026-01-15T13:37:00Z,6,7,550
2026-01-15T13:38:00Z,5,10,545
2026-01-15T13:39:00Z,8,6,547
2026-01-15T13:40:00Z,8,13,542
2026-01-15T13:41:00Z,6,6,542
2026-01-15T13:42:00Z,4,6,540
2026-01-15T13:43:00Z,7,8,539
2026-01-15T13:44:00Z,12,9,542
2026-01-15T13:45:00Z,7,5,544
2026-01-15T13:46:00Z,8,11,541
2026-01-15T13:47:00Z,10,8,543
2026-01-15T13:48:00Z,11,10,544
2026-01-15T13:49:00Z,9,10,543
2026-01-15T13:50:00Z,6,10,539
2026-01-15T13:51:00Z,5,11,533
2026-01-15T13:52:00Z,9,12,530
2026-01-15T13:53:00Z,7,7,530
2026-01-15T13:54:00Z,8,8,530
2026-01-15T13:55:00Z,5,7,528
2026-01-15T13:56:00Z,7,8,527
2026-01-15T13:57:00Z,7,8,526
2026-01-15T13:58:00Z,6,10,522
2026-01-15T13:59:00Z,9,10,521
2026-01-15T14:00:00Z,8,8,521
2026-01-15T14:01:00Z,6,9,518
2026-01-15T14:02:00Z,15,5,528
2026-01-15T14:03:00Z,9,7,530
2026-01-15T14:04:00Z,15,12,533
2026-01-15T14:05:00Z,9,6,536
2026-01-15T14:06:00Z,7,4,539
2026-01-15T14:07:00Z,4,4,539
2026-01-15T14:08:00Z,7,7,539
2026-01-15T14:09:00Z,8,6,541
2026-01-15T14:10:00Z,10,7,544
2026-01-15T14:11:00Z,4,2,546
2026-01-15T14:12:00Z,12,11,547
2026-01-15T14:13:00Z,7,6,548
2026-01-15T14:14:00Z,11,7,552
2026-01-15T14:15:00Z,9,10,551
2026-01-15T14:16:00Z,11,6,556
2026-01-15T14:17:00Z,4,8,552
2026-01-15T14:18:00Z,10,6,556
2026-01-15T14:19:00Z,14,7,563
2026-01-15T14:20:00Z,9,6,566
2026-01-15T14:21:00Z,5,9,562
2026-01-15T14:22:00Z,4,10,556
2026-01-15T14:23:00Z,8,10,554
2026-01-15T14:24:00Z,0,9,545
2026-01-15T14:25:00Z,10,8,547
2026-01-15T14:26:00Z,14,11,550
2026-01-15T14:27:00Z,8,3,555
2026-01-15T14:28:00Z,6,8,553
2026-01-15T14:29:00Z,4,9,548
2026-01-15T14:30:00Z,3,4,547
2026-01-15T14:31:00Z,7,7,547
2026-01-15T14:32:00Z,8,8,547
2026-01-15T14:33:00Z,14,8,553
2026-01-15T14:34:00Z,6,11,548
2026-01-15T14:35:00Z,9,3,554
2026-01-15T14:36:00Z,8,8,554
2026-01-15T14:37:00Z,13,6,561
2026-01-15T14:38:00Z,10,12,559
2026-01-15T14:39:00Z,7,14,552
2026-01-15T14:40:00Z,8,4,556
2026-01-15T14:41:00Z,6,12,550
2026-01-15T14:42:00Z,4,9,545
2026-01-15T14:43:00Z,7,11,541
2026-01-15T14:44:00Z,4,10,535
2026-01-15T14:45:00Z,7,7,535
2026-01-15T14:46:00Z,11,8,538
2026-01-15T14:47:00Z,11,10,539
2026-01-15T14:48:00Z,7,9,537
2026-01-15T14:49:00Z,9,13,533
2026-01-15T14:50:00Z,9,6,536
2026-01-15T14:51:00Z,8,11,533
2026-01-15T14:52:00Z,13,4,542
2026-01-15T14:53:00Z,12,6,548
2026-01-15T14:54:00Z,6,3,551
2026-01-15T14:55:00Z,9,7,553
2026-01-15T14:56:00Z,6,10,549
2026-01-15T14:57:00Z,11,9,551
2026-01-15T14:58:00Z,6,8,549
2026-01-15T14:59:00Z,6,13,542
2026-01-15T15:00:00Z,9,8,543
2026-01-15T15:01:00Z,10,3,550
2026-01-15T15:02:00Z,2,7,545
2026-01-15T15:03:00Z,9,7,547
2026-01-15T15:04:00Z,14,7,554
2026-01-15T15:05:00Z,6,5,555
2026-01-15T15:06:00Z,8,13,550
2026-01-15T15:07:00Z,7,13,544
2026-01-15T15:08:00Z,10,9,545
2026-01-15T15:09:00Z,4,11,538
2026-01-15T15:10:00Z,10,10,538
2026-01-15T15:11:00Z,12,5,545
2026-01-15T15:12:00Z,14,7,552
2026-01-15T15:13:00Z,9,10,551
2026-01-15T15:14:00Z,13,10,554
2026-01-15T15:15:00Z,14,11,557
2026-01-15T15:16:00Z,9,7,559
2026-01-15T15:17:00Z,2,7,554
2026-01-15T15:18:00Z,8,7,555
2026-01-15T15:19:00Z,9,8,556
2026-01-15T15:20:00Z,2,12,546
2026-01-15T15:21:00Z,6,10,542
2026-01-15T15:22:00Z,6,9,539
2026-01-15T15:23:00Z,6,5,540
2026-01-15T15:24:00Z,11,11,540
2026-01-15T15:25:00Z,9,9,540
2026-01-15T15:26:00Z,6,8,538
2026-01-15T15:27:00Z,8,10,536
2026-01-15T15:28:00Z,5,14,527
2026-01-15T15:29:00Z,11,8,530
2026-01-15T15:30:00Z,7,7,530
2026-01-15T15:31:00Z,11,6,535
2026-01-15T15:32:00Z,9,3,541
2026-01-15T15:33:00Z,11,9,543
2026-01-15T15:34:00Z,6,5,544
2026-01-15T15:35:00Z,8,7,545
2026-01-15T15:36:00Z,8,16,537
2026-01-15T15:37:00Z,12,12,537
2026-01-15T15:38:00Z,10,7,540
2026-01-15T15:39:00Z,7,8,539
2026-01-15T15:40:00Z,3,9,533
2026-01-15T15:41:00Z,11,11,533
2026-01-15T15:42:00Z,4,6,531
2026-01-15T15:43:00Z,7,7,531
2026-01-15T15:44:00Z,14,11,534
2026-01-15T15:45:00Z,7,3,538
2026-01-15T15:46:00Z,6,14,530
2026-01-15T15:47:00Z,9,9,530
2026-01-15T15:48:00Z,10,14,526
2026-01-15T15:49:00Z,8,5,529
2026-01-15T15:50:00Z,3,8,524
2026-01-15T15:51:00Z,8,9,523
2026-01-15T15:52:00Z,6,11,518
2026-01-15T15:53:00Z,10,12,516
2026-01-15T15:54:00Z,5,12,509
2026-01-15T15:55:00Z,10,12,507
2026-01-15T15:56:00Z,6,9,504
2026-01-15T15:57:00Z,8,9,503
2026-01-15T15:58:00Z,9,9,503
2026-01-15T15:59:00Z,9,16,496
2026-01-15T16:00:00Z,6,14,488
2026-01-15T16:01:00Z,5,8,485
2026-01-15T16:02:00Z,11,10,486
2026-01-15T16:03:00Z,13,17,482
2026-01-15T16:04:00Z,8,9,481
2026-01-15T16:05:00Z,9,8,482
2026-01-15T16:06:00Z,11,6,487
2026-01-15T16:07:00Z,9,7,489
2026-01-15T16:08:00Z,8,8,489
2026-01-15T16:09:00Z,7,9,487
2026-01-15T16:10:00Z,4,7,484
2026-01-15T16:11:00Z,10,16,478
2026-01-15T16:12:00Z,1,7,472
2026-01-15T16:13:00Z,5,7,470
2026-01-15T16:14:00Z,5,7,468
2026-01-15T16:15:00Z,11,8,471
2026-01-15T16:16:00Z,6,10,467
2026-01-15T16:17:00Z,11,10,468
2026-01-15T16:18:00Z,6,11,463
2026-01-15T16:19:00Z,11,7,467
2026-01-15T16:20:00Z,5,15,457
2026-01-15T16:21:00Z,9,9,457
2026-01-15T16:22:00Z,12,10,459
2026-01-15T16:23:00Z,10,9,460
2026-01-15T16:24:00Z,7,9,458
2026-01-15T16:25:00Z,8,3,463
2026-01-15T16:26:00Z,5,10,458
2026-01-15T16:27:00Z,10,8,460
2026-01-15T16:28:00Z,11,11,460
2026-01-15T16:29:00Z,9,11,458
2026-01-15T16:30:00Z,11,11,458
2026-01-15T16:31:00Z,4,9,453
2026-01-15T16:32:00Z,11,10,454
2026-01-15T16:33:00Z,9,4,459
2026-01-15T16:34:00Z,10,9,460
2026-01-15T16:35:00Z,8,12,456
2026-01-15T16:36:00Z,7,11,452
2026-01-15T16:37:00Z,10,6,456
2026-01-15T16:38:00Z,12,8,460
2026-01-15T16:39:00Z,11,6,465
2026-01-15T16:40:00Z,11,12,464
2026-01-15T16:41:00Z,5,5,464
2026-01-15T16:42:00Z,12,10,466
2026-01-15T16:43:00Z,6,6,466
2026-01-15T16:44:00Z,8,11,463
2026-01-15T16:45:00Z,11,11,463
2026-01-15T16:46:00Z,6,8,461
2026-01-15T16:47:00Z,14,7,468
2026-01-15T16:48:00Z,7,10,465
2026-01-15T16:49:00Z,4,9,460
2026-01-15T16:50:00Z,5,11,454
2026-01-15T16:51:00Z,5,7,452
2026-01-15T16:52:00Z,7,6,453
2026-01-15T16:53:00Z,4,10,447
2026-01-15T16:54:00Z,6,9,444
2026-01-15T16:55:00Z,7,14,437
2026-01-15T16:56:00Z,8,12,433
2026-01-15T16:57:00Z,6,16,423
2026-01-15T16:58:00Z,8,5,426
2026-01-15T16:59:00Z,7,10,423
2026-01-15T17:00:00Z,12,8,427
2026-01-15T17:01:00Z,25,11,441
2026-01-15T17:02:00Z,6,7,440
2026-01-15T17:03:00Z,8,13,435
